id	type	qualifier	systematic	gene	aliases	chromname	?	chrom#	from	to	strand				Notes
YDL094C	gene	?	YDL094C	YDL094C		chromosome 4		4	289571	290080	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verfied gene PMT5/YDL093W; YDL094C is not essential
YDL093W	gene	?	YDL093W	PMT5	PMT5,putative dolichyl-phosphate-mannose-protein mannosyltransferase PMT5	chromosome 4		4	289908	292139	W				Protein O-mannosyltransferase; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt3p, can instead interact with Pmt2p in some conditions; target for new antifungals
YDL092W	gene	?	YDL092W	SRP14	SRP14	chromosome 4		4	292780	293220	W				Signal recognition particle (SRP) subunit; interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14
YDL091C	gene	?	YDL091C	UBX3	UBX3	chromosome 4		4	293391	294758	C				Subunit of the DSC ubiquitin ligase complex; UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; ortholog of fission yeast Ucp10
YDL090C	gene	?	YDL090C	RAM1	RAM1,DPR1,FUS8,SCG2,SGP2,STE16,protein farnesyltransferase	chromosome 4		4	295033	296328	C				Beta subunit of the CAAX farnesyltransferase (FTase); this complex prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit
YDL089W	gene	?	YDL089W	NUR1	NUR1	chromosome 4		4	296819	298273	W				Protein of unknown function; interacts with Csm1p, Lrs4p; required for rDNA repeat stability; null mutant causes increase in unequal sister-chromatid exchange; GFP-fusion protein localizes to the nuclear periphery, possible Cdc28p substrate
YDL088C	gene	?	YDL088C	ASM4	ASM4,FG-nucleoporin ASM4,NUP59	chromosome 4		4	298416	300002	C				FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication
YDL087C	gene	?	YDL087C	LUC7	LUC7,EPE1,EXM2	chromosome 4		4	300213	300998	C				Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA; relocalizes to the cytosol in response to hypoxia
YDL086W	gene	?	YDL086W	YDL086W	carboxymethylenebutenolidase	chromosome 4		4	301412	302233	W				Putative carboxymethylenebutenolidase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL086W is not an essential gene
YDL086C-A	gene	?	YDL086C-A	YDL086C-A		chromosome 4		4	301654	302088	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps uncharacterized ORF YDL086W; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching
YDL085C-A	gene	?	YDL085C-A	YDL085C-A		chromosome 4		4	302463	302669	C				Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YDL085W	gene	?	YDL085W	NDE2	NDE2,NADH-ubiquinone reductase (H(+)-translocating) NDE2,NDH2	chromosome 4		4	303210	304847	W				Mitochondrial external NADH dehydrogenase; catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain; NDE2 has a paralog, NDE1, that arose from the whole genome duplication
YDL084W	gene	?	YDL084W	SUB2	SUB2,ATP-dependent RNA helicase SUB2	chromosome 4		4	305236	306576	W				Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress
YDL083C	gene	?	YDL083C	RPS16B	RPS16B,S16B,S9,ribosomal 40S subunit protein S16B,rp61R	chromosome 4		4	306925	307788	C				Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16B has a paralog, RPS16A, that arose from the whole genome duplication
YDL082W	gene	?	YDL082W	RPL13A	RPL13A,L13A,L13e,ribosomal 60S subunit protein L13A	chromosome 4		4	308423	309387	W				Ribosomal 60S subunit protein L13A; not essential for viability; homologous to mammalian ribosomal protein L13, no bacterial homolog; RPL13A has a paralog, RPL13B, that arose from the whole genome duplication
YDL081C	gene	?	YDL081C	RPP1A	RPP1A,RPLA1,ribosomal protein P1A	chromosome 4		4	309801	310121	C				Ribosomal stalk protein P1 alpha; involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P1 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component
YDL080C	gene	?	YDL080C	THI3	THI3,KID1,branched-chain-2-oxoacid decarboxylase THI3	chromosome 4		4	310641	312470	C				Regulatory protein that binds Pdc2p and Thi2p transcription factors; activates thiamine biosynthesis transcription factors Pdc2p and Thi2p by binding to them, but releases and de-activates them upon binding to thiamine pyrophosphate (TPP), the end product of the pathway; has similarity to decarboxylases but enzymatic activity is not detected
YDL079C	gene	?	YDL079C	MRK1	MRK1,putative serine/threonine protein kinase MRK1	chromosome 4		4	312950	314747	C				Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation; MRK1 has a paralog, RIM11, that arose from the whole genome duplication
YDL078C	gene	?	YDL078C	MDH3	MDH3,malate dehydrogenase MDH3	chromosome 4		4	315356	316387	C				Peroxisomal malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle
YDL077C	gene	?	YDL077C	VAM6	VAM6,CVT4,VPL18,VPL22,VPS39	chromosome 4		4	316970	320119	C				Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector, interacting with both GTP- and GDP-bound conformations of Ypt7p, facilitating tethering and promoting several membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking
YDL076C	gene	?	YDL076C	RXT3	RXT3	chromosome 4		4	320667	321551	C				Component of the Rpd3L histone deacetylase complex; involved in histone deacetylation; protein abundance increases in response to DNA replication stress
YDL075W	gene	?	YDL075W	RPL31A	RPL31A,L31A,L31e,L34A,RPL34,YL28,ribosomal 60S subunit protein L31A	chromosome 4		4	322225	322987	W				Ribosomal 60S subunit protein L31A; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31A has a paralog, RPL31B, that arose from the whole genome duplication
snR63	snoRNA_gene	?	snR63	SNR63	SNR63	chromosome 4		4	323216	323470	C				C/D box small nucleolar RNA (snoRNA); guides 2'-O-methylation of large subunit (LSU) rRNA at position A2256
YDL074C	gene	?	YDL074C	BRE1	BRE1,E3 ubiquitin-protein ligase BRE1	chromosome 4		4	324046	326148	C				E3 ubiquitin ligase; forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control; interacts with RNA-binding protein Npl3p, linking histone ubiquitination to mRNA processing; Bre1p-dependent histone ubiquitination promotes pre-mRNA splicing
YDL073W	gene	?	YDL073W	YDL073W		chromosome 4		4	326612	329566	W				Putative protein of unknown function; YDL073W is not an essential gene
YDL072C	gene	?	YDL072C	YET3	YET3	chromosome 4		4	329835	330446	C				Protein of unknown function; YET3 null mutant decreases the level of secreted invertase; homolog of human BAP31 protein; protein abundance increases in response to DNA replication stress
YDL071C	gene	?	YDL071C	YDL071C	IRC1	chromosome 4		4	330665	331039	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF BDF2/YDL070W
YDL070W	gene	?	YDL070W	BDF2	BDF2	chromosome 4		4	331023	332939	W				Protein involved in transcription initiation; acts at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p; protein abundance increases in response to DNA replication stress; BDF2 has a paralog, BDF1, that arose from the whole genome duplication
YDL069C	gene	?	YDL069C	CBS1	CBS1	chromosome 4		4	333120	333809	C				Mitochondrial translational activator of the COB mRNA; membrane protein that interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader
YDL068W	gene	?	YDL068W	YDL068W		chromosome 4		4	333499	333828	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YDL067C	gene	?	YDL067C	COX9	COX9,cytochrome c oxidase subunit VIIa	chromosome 4		4	334216	334395	C				Subunit VIIa of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain
YDL066W	gene	?	YDL066W	IDP1	IDP1,isocitrate dehydrogenase (NADP(+)) IDP1	chromosome 4		4	334834	336120	W				Mitochondrial NADP-specific isocitrate dehydrogenase; catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes
YDL065C	gene	?	YDL065C	PEX19	PEX19,PAS12	chromosome 4		4	336248	337276	C				Chaperone and import receptor for newly-synthesized class I PMPs; binds peroxisomal membrane proteins (PMPs) in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane; interacts with Myo2p and contributes to peroxisome partitioning
YDL064W	gene	?	YDL064W	UBC9	UBC9,E2 SUMO-conjugating protein UBC9	chromosome 4		4	337486	338069	W				SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)
YDL063C	gene	?	YDL063C	SYO1	SYO1	chromosome 4		4	338271	340133	C				Transport adaptor or symportin; facilitates synchronized nuclear coimport of the two 5S-rRNA binding proteins Rpl5p and Rpl11p; required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YDL062W	gene	?	YDL062W	YDL062W		chromosome 4		4	339856	340281	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YDL063C; YDL062W is not essential
YDL061C	gene	?	YDL061C	RPS29B	RPS29B,S14,S29B,S36B,YS29,YS29B,ribosomal 40S subunit protein S29B	chromosome 4		4	340627	341218	C				Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S29 and bacterial S14; RPS29B has a paralog, RPS29A, that arose from the whole genome duplication
YDL060W	gene	?	YDL060W	TSR1	TSR1	chromosome 4		4	341618	343984	W				Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p; relocalizes from nucleus to cytoplasm upon DNA replication stress
YDL059C	gene	?	YDL059C	RAD59	RAD59	chromosome 4		4	344236	344952	C				Protein involved DNA double-strand break repair; repairs breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; forms nuclear foci upon DNA replication stress; required for loading of Rad52p to DSBs; paralog of Rad52p
YDL058W	gene	?	YDL058W	USO1	USO1,INT1	chromosome 4		4	345664	351036	W				Essential protein involved in vesicle-mediated ER to Golgi transport; binds membranes and functions during vesicle docking to the Golgi; required for assembly of the ER-to-Golgi SNARE complex
YDL057W	gene	?	YDL057W	YDL057W		chromosome 4		4	351433	352419	W				Putative protein of unknown function; YDL057W is not an essential gene
YDL056W	gene	?	YDL056W	MBP1	MBP1,transcription factor MBP1	chromosome 4		4	352876	355377	W				Transcription factor; involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes
YDL055C	gene	?	YDL055C	PSA1	PSA1,MPG1,SRB1,VIG9,mannose-1-phosphate guanylyltransferase	chromosome 4		4	355673	356758	C				GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure
tK(UUU)D	tRNA_gene	?	tK(UUU)D	tK(UUU)D		chromosome 4		4	359576	359671	W				Lysine tRNA (tRNA-Lys), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p
YDL054C	gene	?	YDL054C	MCH1	MCH1	chromosome 4		4	359824	361284	C				Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport
YDL053C	gene	?	YDL053C	PBP4	PBP4	chromosome 4		4	361698	362255	C				Pbp1p binding protein; interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay; relative distribution to the nucleus increases upon DNA replication stress
YDL052C	gene	?	YDL052C	SLC1	SLC1,1-acylglycerol-3-phosphate O-acyltransferase SLC1	chromosome 4		4	362671	363582	C				1-acyl-sn-glycerol-3-phosphate acyltransferase; catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes
YDL051W	gene	?	YDL051W	LHP1	LHP1,LAH1,YLA1	chromosome 4		4	363951	364778	W				RNA binding protein required for maturation of tRNA and U6 snRNA; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen
YDL050C	gene	?	YDL050C	YDL050C		chromosome 4		4	364445	364816	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YDL049C	gene	?	YDL049C	KNH1	KNH1	chromosome 4		4	365067	365873	C				Protein with similarity to Kre9p; Kre9p is involved in cell wall beta 1,6-glucan synthesis; overproduction suppresses growth defects of a kre9 null mutant; required for propionic acid resistance
YDL048C	gene	?	YDL048C	STP4	STP4	chromosome 4		4	366738	368210	C				Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication
YDL047W	gene	?	YDL047W	SIT4	SIT4,PPH1,type 2A-related serine/threonine-protein phosphatase SIT4	chromosome 4		4	369770	370705	W				Type 2A-related serine-threonine phosphatase; functions in the G1/S transition of the mitotic cycle; regulator of COPII coat dephosphorylation; required for ER to Golgi traffic; interacts with Hrr25p kinase; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization; similar to human PP6
YDL046W	gene	?	YDL046W	NPC2	NPC2	chromosome 4		4	371239	371760	W				Functional homolog of human NPC2/He1; human NPC2 is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes
YDL045W-A	gene	?	YDL045W-A	MRP10	MRP10,YmS-T,mitochondrial 37S ribosomal protein YmS-T	chromosome 4		4	372247	372534	W				Mitochondrial ribosomal protein of the small subunit; contains twin cysteine-x9-cysteine motifs; oxidized by Mia40p during import into mitochondria
YDL045C	gene	?	YDL045C	FAD1	FAD1,FMN adenylyltransferase	chromosome 4		4	372687	373607	C				Flavin adenine dinucleotide (FAD) synthetase; performs the second step in synthesis of FAD from riboflavin
YDL044C	gene	?	YDL044C	MTF2	MTF2,NAM1	chromosome 4		4	373966	375288	C				Mitochondrial protein that interacts with mitochondrial RNA polymerase; interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription
YDL043C	gene	?	YDL043C	PRP11	PRP11,RNA11	chromosome 4		4	375679	376479	C				Subunit of the SF3a splicing factor complex; required for spliceosome assembly
YDL042C	gene	?	YDL042C	SIR2	SIR2,MAR1,NAD-dependent histone deacetylase SIR2	chromosome 4		4	376756	378444	C				Conserved NAD+ dependent histone deacetylase of the Sirtuin family; involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication; functions as a regulator of autophagy like mammalian homolog SIRT1, and also of mitophagy; SIR2 has a paralog, HST1, that arose from the whole genome duplication
YDL041W	gene	?	YDL041W	YDL041W		chromosome 4		4	378101	378454	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SIR2/YDL042C
YDL040C	gene	?	YDL040C	NAT1	NAT1,AAA1,NAA15	chromosome 4		4	378873	381437	C				Subunit of protein N-terminal acetyltransferase NatA; NatA is comprised of Nat1p, Ard1p, and Nat5p; N-terminally acetylates many proteins, which influences multiple processes such as the cell cycle, heat-shock resistance, mating, sporulation, and telomeric silencing
YDL039C	gene	?	YDL039C	PRM7	PRM7,YDL038C,pheromone-regulated protein PRM7	chromosome 4		4	381984	384080	C				Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements
YDL037C	gene	?	YDL037C	BSC1	BSC1	chromosome 4		4	384600	385586	C				Protein of unconfirmed function; similar to cell surface flocculin Flo11p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression
YDL036C	gene	?	YDL036C	PUS9	PUS9,pseudouridine synthase PUS9	chromosome 4		4	387512	388900	C				Mitochondrial tRNA:pseudouridine synthase; catalyzes the formation of pseudouridine at position 32 in mitochondrial tRNAs; contains an N-terminal mitochondrial targeting sequence; PUS9 has a paralog, RIB2, that arose from the whole genome duplication
YDL035C	gene	?	YDL035C	GPR1	GPR1	chromosome 4		4	389171	392056	C				Plasma membrane G protein coupled receptor (GPCR); interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis
YDL034W	gene	?	YDL034W	YDL034W		chromosome 4		4	391782	392126	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps with verified gene GPR1/YDL035C; YDL034W is not an essential gene
YDL033C	gene	?	YDL033C	SLM3	SLM3,MTO2,MTU1	chromosome 4		4	392658	393911	C				tRNA-specific 2-thiouridylase; responsible for 2-thiolation of the wobble base of mitochondrial tRNAs; human ortholog is implicated in myoclonus epilepsy associated with ragged red fibers (MERRF)
YDL032W	gene	?	YDL032W	YDL032W		chromosome 4		4	393689	394000	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene SLM3/YDL033C; YDL032W is not an essential gene
YDL031W	gene	?	YDL031W	DBP10	DBP10	chromosome 4		4	394216	397203	W				Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis
YDL030W	gene	?	YDL030W	PRP9	PRP9	chromosome 4		4	397536	399128	W				Subunit of the SF3a splicing factor complex; required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex
YDL029W	gene	?	YDL029W	ARP2	ARP2,ACT2,actin-related protein 2	chromosome 4		4	399339	400637	W				Essential component of the Arp2/3 complex; Arp2/3 is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity; required for efficient Golgi-to-ER trafficking in COPI mutants
YDL028C	gene	?	YDL028C	MPS1	MPS1,PAC8,RPK1,serine/threonine/tyrosine protein kinase MPS1	chromosome 4		4	400996	403290	C				Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p
YDL027C	gene	?	YDL027C	YDL027C		chromosome 4		4	403694	404956	C				Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene
YDL026W	gene	?	YDL026W	YDL026W		chromosome 4		4	404748	405059	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YDL025C	gene	?	YDL025C	RTK1	RTK1,putative serine/threonine protein kinase RTK1	chromosome 4		4	405343	407205	C				Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1; protein abundance increases in response to DNA replication stress
YDL025W-A	gene	?	YDL025W-A	YDL025W-A		chromosome 4		4	405409	405513	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the ORF YDL025C; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching
YDL024C	gene	?	YDL024C	DIA3	DIA3,putative acid phosphatase DIA3	chromosome 4		4	408450	409856	C				Protein of unknown function; involved in invasive and pseudohyphal growth
YDL022C-A	gene	?	YDL022C-A	YDL022C-A		chromosome 4		4	409807	410055	C				Protein of unknown function; partially overlaps the verified gene DIA3; identified by fungal homology and RT-PCR; mRNA identified as translated by ribosome profiling data
tA(AGC)D	tRNA_gene	?	tA(AGC)D	tA(AGC)D		chromosome 4		4	410378	410450	W				Alanine tRNA (tRNA-Ala), predicted by tRNAscan-SE analysis; one of 11 nuclear tRNA genes containing the tDNA-anticodon AGC (converted to IGC in the mature tRNA), decodes GCU and GCC codons into alanine, one of 16 nuclear tRNAs for alanine
YDL023C	gene	?	YDL023C	YDL023C	SRF4	chromosome 4		4	411760	412080	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in other Saccharomyces species; overlaps the verified gene GPD1; deletion confers sensitivity to GSAO; deletion in cyr1 mutant results in loss of stress resistance
YDL022W	gene	?	YDL022W	GPD1	GPD1,DAR1,HOR1,OSG1,OSR5,glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1	chromosome 4		4	411824	412999	W				NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases YPK1 and YPK2, dephosphorylation increases catalytic activity; GPD1 has a paralog, GPD2, that arose from the whole genome duplication
YDL021W	gene	?	YDL021W	GPM2	GPM2,phosphoglycerate mutase family protein GPM2	chromosome 4		4	413952	414887	W				Homolog of Gpm1p phosphoglycerate mutase; converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; may be non-functional; GPM2 has a paralog, GPM3, that arose from the whole genome duplication
YDL020C	gene	?	YDL020C	RPN4	RPN4,SON1,UFD5,stress-regulated transcription factor RPN4	chromosome 4		4	415112	416707	C				Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress
YDL019C	gene	?	YDL019C	OSH2	OSH2,oxysterol-binding protein related protein OSH2	chromosome 4		4	417662	421513	C				Member of an oxysterol-binding protein family with seven members; in S. cerevisiae, family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; OSH2 has a paralog, SWH1, that arose from the whole genome duplication
YDL018C	gene	?	YDL018C	ERP3	ERP3	chromosome 4		4	422832	423509	C				Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport
YDL017W	gene	?	YDL017W	CDC7	CDC7,LSD6,SAS1,serine/threonine protein kinase CDC7	chromosome 4		4	424208	425731	W				DDK (Dbf4-dependent kinase) catalytic subunit; required for origin firing and replication fork progression in mitotic S phase through phosphorylation of Mcm2-7p complexes and Cdc45p; kinase activity correlates with cyclical DBF4 expression; required for pre-meiotic DNA replication, meiotic DSB formation, recruitment of the monopolin complex to kinetochores during meiosis I and as a gene-specific regulator of the meiosis-specific transcription factor Ndt80p
YDL016C	gene	?	YDL016C	YDL016C		chromosome 4		4	425569	425871	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CDC7/YDL153C, the catalytic subunit of a complex that regulates DNA replication
YDL015C	gene	?	YDL015C	TSC13	TSC13,trans-2-enoyl-CoA reductase (NADPH) TSC13	chromosome 4		4	426001	426933	C				Enoyl reductase; catalyzes the last step in each cycle of very long chain fatty acid elongation; localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions; coimmunoprecipitates with elongases Fen1p and Sur4p; protein increases in abundance and relative distribution to ER foci increases upon DNA replication stress
YDL014W	gene	?	YDL014W	NOP1	NOP1,LOT3,rRNA methyltransferase NOP1	chromosome 4		4	427363	428346	W				Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus; component of the small subunit processome complex, which is required for processing of pre-18S rRNA; ortholog of mammalian fibrillarin
YDL013W	gene	?	YDL013W	SLX5	SLX5,HEX3,SUMO-targeted ubiquitin ligase complex subunit SLX5,ULS2	chromosome 4		4	429066	430925	W				Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; stimulated by SUMO-modified substrates; contains a RING domain and two SIM motifs; forms SUMO-dependent nuclear foci, including DNA repair centers; associates with the centromere; null mutants are aneuploid, have a metaphase delay, and spindle defects including: mispositioned spindles, fish hook spindles, and aberrant spindle kinetics; required for maintenance of genome integrity like human ortholog RNF4
YDL012C	gene	?	YDL012C	YDL012C		chromosome 4		4	431107	431516	C				Tail-anchored plasma membrane protein with a conserved CYSTM module; possibly involved in response to stress; may contribute to non-homologous end-joining (NHEJ) based on ydl012c htz1 double null phenotype; YDL012C has a paralog, YBR016W, that arose from the whole genome duplication
YDL011C	gene	?	YDL011C	YDL011C		chromosome 4		4	432307	432630	C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORF YDL010W
YDL010W	gene	?	YDL010W	GRX6	GRX6,glutathione-disulfide reductase GRX6	chromosome 4		4	432329	433024	W				Cis-golgi localized monothiol glutaredoxin, binds Fe-S cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; GRX6 has a paralog, GRX7, that arose from the whole genome duplication
YDL009C	gene	?	YDL009C	YDL009C		chromosome 4		4	432924	433247	C				Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps the verified ORF YDL010W; YDL009C is not an essential gene
YDL008W	gene	?	YDL008W	APC11	APC11,anaphase promoting complex subunit 11	chromosome 4		4	433496	433993	W				Catalytic core subunit, Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity
tT(AGU)D	tRNA_gene	?	tT(AGU)D	tT(AGU)D		chromosome 4		4	434263	434335	C				Threonine tRNA (tRNA-Thr), predicted by tRNAscan-SE analysis
YDL007C-A	gene	?	YDL007C-A	YDL007C-A		chromosome 4		4	436566	436823	C				Putative protein of unknown function
tS(AGA)D1	tRNA_gene	?	tS(AGA)D1	tS(AGA)D1		chromosome 4		4	437771	437852	W				Serine tRNA (tRNA-Ser), predicted by tRNAscan-SE analysis
YDL007W	gene	?	YDL007W	RPT2	RPT2,YHS4,YTA5,proteasome regulatory particle base subunit RPT2	chromosome 4		4	438046	439359	W				ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle; N-myristoylation of Rpt2p at Gly2 is involved in regulating the proper intracellular distribution of proteasome activity by controlling the nuclear localization of the 26S proteasome
YDL006W	gene	?	YDL006W	PTC1	PTC1,CWH47,KCS2,TPD1,type 2C protein phosphatase PTC1	chromosome 4		4	439908	440753	W				Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p, inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing, mitochondrial inheritance, and sporulation
